animal1,orientation1,animal2,orientation2,value
dragon,up,tiger,up,17.652
dragon,up,lion,up,16.800
dragon,up,garuda,up,17.412
dragon,up,tiger,down,17.225
dragon,up,lion,down,16.662
dragon,up,garuda,down,17.594
dragon,down,tiger,up,17.572
dragon,down,lion,up,16.662
dragon,down,garuda,up,17.694
dragon,down,tiger,down,17.896
dragon,down,lion,down,16.436
dragon,down,garuda,down,17.694
tiger,up,lion,up,14.037
tiger,up,garuda,up,14.601
tiger,up,dragon,up,17.207
tiger,up,lion,down,13.760
tiger,up,garuda,down,14.742
tiger,up,dragon,down,17.652
tiger,down,lion,up,13.752
tiger,down,garuda,up,14.599
tiger,down,dragon,up,17.327
tiger,down,lion,down,14.029
tiger,down,garuda,down,14.457
tiger,down,dragon,down,17.612
lion,up,garuda,up,12.427
lion,up,tiger,up,14.037
lion,up,dragon,up,16.568
lion,up,garuda,down,12.286
lion,up,tiger,down,14.321
lion,up,dragon,down,16.524
lion,down,garuda,up,16.844
lion,down,tiger,up,13.836
lion,down,dragon,up,13.760
lion,down,garuda,down,13.977
lion,down,tiger,down,13.765
lion,down,dragon,down,16.662
garuda,up,tiger,up,14.601
garuda,up,tiger,down,14.886
garuda,down,tiger,up,14.743
garuda,down,tiger,down,14.459
garuda,up,lion,up,13.830
garuda,up,lion,down,13.553
garuda,down,lion,up,13.280
garuda,down,lion,down,13.139
garuda,up,dragon,up,17.594
garuda,up,dragon,down,17.594
garuda,down,dragon,up,17.553
garuda,down,dragon,down,17.553
